0,646,985,989,834,2082,1080,1282,393,579,939,2373
646,0,466,907,919,2281,517,745,330,577,407,2618
985,466,0,676,1384,2081,756,957,775,586,713,2435
989,907,676,0,1709,1410,1370,1591,1049,422,1286,1762
834,919,1384,1709,0,2914,924,992,664,1293,827,3207
2082,2281,2081,1410,2914,0,2773,2997,2325,1712,2677,359
1080,517,756,1370,924,2773,0,228,689,1088,141,3116
1282,745,957,1591,992,2997,228,0,889,1316,353,3341
393,330,775,1049,664,2325,689,889,0,641,547,2641
579,577,586,422,1293,1712,1088,1316,641,0,977,2044
939,407,713,1286,827,2677,141,353,547,977,0,3016
2373,2618,2435,1762,3207,359,3116,3341,2641,2044,3016,0
