0,715,1050,1158,1040,2635,1203,1510,478,620,1043,3228
715,0,670,1137,1213,2635,590,897,330,600,430,3228
1050,670,0,855,1925,2800,1005,1227,885,765,977,3393
1158,1137,855,0,2198,1930,1860,2082,1347,537,1567,2523
1040,1213,1925,2198,0,3675,1106,1118,883,1660,948,4268
2635,2635,2800,1930,3675,0,3225,3532,2845,2035,3065,593
1203,590,1005,1860,1106,3225,0,307,767,1190,160,3818
1510,897,1227,2082,1118,3532,307,0,1074,1497,467,4125
478,330,885,1347,883,2845,767,1074,0,810,607,3438
620,600,765,537,1660,2035,1190,1497,810,0,1030,2628
1043,430,977,1567,948,3065,160,467,607,1030,0,3658
3228,3228,3393,2523,4268,593,3818,4125,3438,2628,3658,0
